Woche;afg_2010_world
2010-01-03;74
2010-01-10;80
2010-01-17;75
2010-01-24;78
2010-01-31;73
2010-02-07;90
2010-02-14;92
2010-02-21;85
2010-02-28;70
2010-03-07;71
2010-03-14;72
2010-03-21;72
2010-03-28;72
2010-04-04;76
2010-04-11;88
2010-04-18;79
2010-04-25;78
2010-05-02;75
2010-05-09;72
2010-05-16;89
2010-05-23;71
2010-05-30;69
2010-06-06;74
2010-06-13;87
2010-06-20;79
2010-06-27;68
2010-07-04;63
2010-07-11;61
2010-07-18;67
2010-07-25;100
2010-08-01;82
2010-08-08;79
2010-08-15;75
2010-08-22;77
2010-08-29;68
2010-09-05;68
2010-09-12;73
2010-09-19;80
2010-09-26;76
2010-10-03;84
2010-10-10;87
2010-10-17;81
2010-10-24;76
2010-10-31;74
2010-11-07;78
2010-11-14;81
2010-11-21;74
2010-11-28;85
2010-12-05;77
2010-12-12;75
2010-12-19;63
2010-12-26;56
