Woche;afg_2021_germany
2021-06-13;2
2021-06-20;2
2021-06-27;3
2021-07-04;3
2021-07-11;3
2021-07-18;3
2021-07-25;3
2021-08-01;3
2021-08-08;10
2021-08-15;100
2021-08-22;37
2021-08-29;17
2021-09-05;8
2021-09-12;6
2021-09-19;4
2021-09-26;4
2021-10-03;3
2021-10-10;4
2021-10-17;3
2021-10-24;3
2021-10-31;3
2021-11-07;3
2021-11-14;3
2021-11-21;2
2021-11-28;2
2021-12-05;3
2021-12-12;3
2021-12-19;2
2021-12-26;2
2022-01-02;2
2022-01-09;2
2022-01-16;2
2022-01-23;2
2022-01-30;2
2022-02-06;2
2022-02-13;2
2022-02-20;3
2022-02-27;3
2022-03-06;2
2022-03-13;2
2022-03-20;2
2022-03-27;2
2022-04-03;2
2022-04-10;2
2022-04-17;2
2022-04-24;2
2022-05-01;2
2022-05-08;2
2022-05-15;2
2022-05-22;2
2022-05-29;2
2022-06-05;2
